"Indicator","Urban","Rural","Total","NFHS4","state","Flag_Urban","Flag_Rural","Flag_Total","Flag_NFHS4"
"68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",7.2,NA,7.1,6.9,"Chandigarh","Based on 25-49 unweighted cases",NA,NA,NA
"69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",4.4,NA,4.3,4.6,"Chandigarh",NA,NA,NA,NA
"70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",NA,NA,NA,NA,"Chandigarh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",NA,NA,NA,NA,"Chandigarh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",NA,NA,NA,NA,"Chandigarh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",0.3,NA,0.3,2.8,"Chandigarh",NA,NA,NA,NA
"74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",NA,NA,NA,NA,"Chandigarh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"75. Children under age 3 years breastfed within one hour of birth15 (%)",63.7,NA,63.7,33.5,"Chandigarh",NA,NA,NA,NA
"76. Children under age 6 months exclusively breastfed16 (%)",NA,NA,NA,NA,"Chandigarh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",NA,NA,NA,NA,"Chandigarh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",22.9,NA,22.7,0,"Chandigarh","Based on 25-49 unweighted cases",NA,NA,NA
"79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",NA,NA,NA,NA,"Chandigarh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",19.1,NA,19,0,"Chandigarh","Based on 25-49 unweighted cases",NA,NA,NA
"81. Children under 5 years who are stunted (height-for-age)18 (%)",25.2,NA,25.3,28.7,"Chandigarh",NA,NA,NA,NA
"82. Children under 5 years who are wasted (weight-for-height)18 (%)",8.3,NA,8.4,10.9,"Chandigarh",NA,NA,NA,NA
"83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",2.4,NA,2.3,3.9,"Chandigarh",NA,NA,NA,NA
"84. Children under 5 years who are underweight (weight-for-age)18 (%)",20.2,NA,20.6,24.5,"Chandigarh",NA,NA,NA,NA
"85. Children under 5 years who are overweight (weight-for-height)20 (%)",1.9,NA,1.9,1.1,"Chandigarh",NA,NA,NA,NA
"86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",13.1,NA,13,13.3,"Chandigarh",NA,NA,NA,NA
"87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",15.1,NA,15.1,21.7,"Chandigarh",NA,NA,NA,NA
"88. Women who are overweight or obese (BMI >25.0 kg/m2)21 (%)",43.9,NA,44,41.5,"Chandigarh",NA,NA,NA,NA
"89. Men who are overweight or obese (BMI >25.0 kg/m2) (%)",34.4,NA,34.4,32,"Chandigarh",NA,NA,NA,NA
"90. Women who have high risk waist-to-hip ratio (>0.85) (%)",60.4,NA,60.7,NA,"Chandigarh",NA,NA,NA,NA
"91. Men who have high risk waist-to-hip ratio (>0.90) (%)",66.9,NA,66.9,NA,"Chandigarh",NA,NA,NA,NA
"92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",55,NA,54.6,73.1,"Chandigarh",NA,NA,NA,NA
"93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",60.1,NA,60.1,75.9,"Chandigarh",NA,NA,NA,NA
"94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",NA,NA,NA,NA,"Chandigarh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"95. All women age 15-49 years who are anaemic22 (%)",60.3,64,60.3,75.9,"Chandigarh",NA,NA,NA,NA
"96. All women age 15-19 years who are anaemic22 (%)",57.5,NA,57.7,74.7,"Chandigarh",NA,NA,NA,NA
"97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",8.1,NA,8.1,19.3,"Chandigarh",NA,NA,NA,NA
"98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",NA,NA,NA,22.4,"Chandigarh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"99. Blood sugar level - high (141-160 mg/dl)23 (%)",6,3.5,6,NA,"Chandigarh",NA,NA,NA,NA
"100. Blood sugar level - very high (>160 mg/dl)23 (%)",12,13.8,12,NA,"Chandigarh",NA,NA,NA,NA
"101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",19,17.2,19,NA,"Chandigarh",NA,NA,NA,NA
"102. Blood sugar level - high (141-160 mg/dl)23 (%)",7.1,8,7.1,NA,"Chandigarh",NA,NA,NA,NA
"103. Blood sugar level - very high (>160 mg/dl)23 (%)",8.8,8,8.8,NA,"Chandigarh",NA,NA,NA,NA
"104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",16.6,16,16.6,NA,"Chandigarh",NA,NA,NA,NA
"105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",14.4,20,14.5,NA,"Chandigarh",NA,NA,NA,NA
"106. Moderately or severely elevated blood pressure (Systolic >160 mm of Hg and/or Diastolic >100 mm of Hg) (%)",5.5,6.7,5.6,NA,"Chandigarh",NA,NA,NA,NA
"107. Elevated blood pressure (Systolic >140 mm of Hg and/or Diastolic >90 mm of Hg) or taking medicine to control blood pressure (%)",25,30,25,NA,"Chandigarh",NA,NA,NA,NA
"108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",18.6,19.2,18.7,NA,"Chandigarh",NA,NA,NA,NA
"109. Moderately or severely elevated blood pressure (Systolic >160 mm of Hg and/or Diastolic >100 mm of Hg) (%)",8.6,15.4,8.7,NA,"Chandigarh",NA,NA,NA,NA
"110. Elevated blood pressure (Systolic >140 mm of Hg and/or Diastolic >90 mm of Hg) or taking medicine to control blood pressure (%)",30.6,34.6,30.6,NA,"Chandigarh",NA,NA,NA,NA
"111. Ever undergone a screening test for cervical cancer (%)",1.4,NA,1.4,NA,"Chandigarh",NA,NA,NA,NA
"112. Ever undergone a breast examination for breast cancer (%)",0,NA,0,NA,"Chandigarh",NA,NA,NA,NA
"113. Ever undergone an oral cavity examination for oral cancer (%)",0.4,NA,0.4,NA,"Chandigarh",NA,NA,NA,NA
"114. Ever undergone an oral cavity examination for oral cancer (%)",2.4,NA,2.4,NA,"Chandigarh","Based on 25-49 unweighted cases",NA,NA,NA
"115. Women who have comprehensive knowledge24 of HIV/AIDS (%)",20.3,NA,20.3,41.1,"Chandigarh",NA,NA,NA,NA
"116. Men who have comprehensive knowledge24 of HIV/AIDS (%)",53.6,NA,53.6,66.4,"Chandigarh",NA,NA,NA,NA
"117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",72.3,NA,72.3,87.6,"Chandigarh",NA,NA,NA,NA
"118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",85,NA,85,92.9,"Chandigarh",NA,NA,NA,NA
"119. Currently married women who usually participate in three household decisions25 (%)",94.6,NA,94.6,96.6,"Chandigarh",NA,NA,NA,NA
"120. Women who worked in the last 12 months and were paid in cash (%)",22,NA,22,32.6,"Chandigarh",NA,NA,NA,NA
"121. Women owning a house and/or land (alone or jointly with others) (%)",30.4,NA,30.4,21.6,"Chandigarh",NA,NA,NA,NA
"122. Women having a bank or savings account that they themselves use (%)",87.1,NA,87.1,79.6,"Chandigarh",NA,NA,NA,NA
"123. Women having a mobile phone that they themselves use (%)",70,NA,70,74.2,"Chandigarh",NA,NA,NA,NA
"124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%)",93.3,NA,93.4,92.1,"Chandigarh",NA,NA,NA,NA
"125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%)",9.7,NA,9.7,22.5,"Chandigarh",NA,NA,NA,NA
"126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%)",0,NA,0,3.5,"Chandigarh",NA,NA,NA,NA
"127. Young women age 18-29 years who experienced sexual violence by age 18 (%)",NA,NA,NA,0,"Chandigarh","Percentage not shown; based on fewer than 25 unweighted cases",NA,NA,NA
"128. Women age 15 years and above who use any kind of tobacco (%)",0.6,0,0.6,NA,"Chandigarh",NA,NA,NA,NA
"129. Men age 15 years and above who use any kind of tobacco (%)",12,23.7,12.1,NA,"Chandigarh",NA,NA,NA,NA
"130. Women age 15 years and above who consume alcohol (%)",0.3,0,0.3,NA,"Chandigarh",NA,NA,NA,NA
"131. Men age 15 years and above who consume alcohol (%)",18.5,31.6,18.6,NA,"Chandigarh",NA,NA,NA,NA
"1. Female population age 6 years and above who ever attended school (%)",83.8,82.6,83.8,80.9,"NCT of Delhi",NA,NA,NA,NA
"2. Population below age 15 years (%)",24.3,25.6,24.3,25,"NCT of Delhi",NA,NA,NA,NA
"3. Sex ratio of the total population (females per 1,000 males)",914,859,913,854,"NCT of Delhi",NA,NA,NA,NA
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",927,792,923,812,"NCT of Delhi",NA,NA,NA,NA
"5. Children under age 5 years whose birth was registered with the civil authority (%)",94.2,99.7,94.4,88,"NCT of Delhi",NA,NA,NA,NA
"6. Deaths in the last 3 years registered with the civil authority (%)",89.1,83.1,89,NA,"NCT of Delhi",NA,NA,NA,NA
"7. Population living in households with electricity (%)",99.9,99.9,99.9,99.8,"NCT of Delhi",NA,NA,NA,NA
"8. Population living in households with an improved drinking-water source1 (%)",99.5,98,99.4,99.8,"NCT of Delhi",NA,NA,NA,NA
"9. Population living in households that use an improved sanitation facility2 (%)",81,87.3,81.1,75.1,"NCT of Delhi",NA,NA,NA,NA
"10. Households using clean fuel for cooking3 (%)",99,97.6,98.9,97.9,"NCT of Delhi",NA,NA,NA,NA
"11. Households using iodized salt (%)",96.8,98.4,96.8,98.5,"NCT of Delhi",NA,NA,NA,NA
"12. Households with any usual member covered under a health insurance/financing scheme (%)",25,27.1,25,15.7,"NCT of Delhi",NA,NA,NA,NA
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",16,9.4,15.8,NA,"NCT of Delhi",NA,NA,NA,NA
"14. Women who are literate4 (%)",83.6,87.8,83.7,NA,"NCT of Delhi",NA,NA,NA,NA
"15. Men who are literate4 (%)",90.2,93.5,90.2,NA,"NCT of Delhi",NA,NA,NA,NA
"16. Women with 10 or more years of schooling (%)",59.5,68.7,59.7,54.2,"NCT of Delhi",NA,NA,NA,NA
"17. Men with 10 or more years of schooling (%)",60.7,70.1,60.9,54.8,"NCT of Delhi",NA,NA,NA,NA
"18. Women who have ever used the internet (%)",63.7,69.2,63.8,NA,"NCT of Delhi",NA,NA,NA,NA
"19. Men who have ever used the internet (%)",85.1,87.4,85.2,NA,"NCT of Delhi",NA,NA,NA,NA
"20. Women age 20-24 years married before age 18 years (%)",9.8,11.4,9.9,14.3,"NCT of Delhi",NA,NA,NA,NA
"21. Men age 25-29 years married before age 21 years (%)",12.1,NA,12,21,"NCT of Delhi",NA,NA,NA,NA
"22. Total fertility rate (children per woman)",1.6,2.5,1.6,1.8,"NCT of Delhi",NA,NA,NA,NA
"23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",3.2,9.7,3.3,2.1,"NCT of Delhi",NA,NA,NA,NA
"24. Adolescent fertility rate for women age 15-19 years5",18,42,19,21,"NCT of Delhi",NA,NA,NA,NA
"25. Neonatal mortality rate (NNMR)",17,NA,17.5,17.8,"NCT of Delhi",NA,NA,NA,NA
"26. Infant mortality rate (IMR)",24.2,NA,24.5,31.2,"NCT of Delhi",NA,NA,NA,NA
"27. Under-five mortality rate (U5MR)",30.5,NA,30.6,42.2,"NCT of Delhi",NA,NA,NA,NA
"28. Any method6 (%)",76.5,71.3,76.4,54.9,"NCT of Delhi",NA,NA,NA,NA
"29. Any modern method6 (%)",57.6,59.7,57.7,48.6,"NCT of Delhi",NA,NA,NA,NA
"30. Female sterilization (%)",18,18.6,18,19.8,"NCT of Delhi",NA,NA,NA,NA
"31. Male sterilization (%)",0.2,0.5,0.2,0.2,"NCT of Delhi",NA,NA,NA,NA
"32. IUD/PPIUD (%)",6.6,11,6.7,5.4,"NCT of Delhi",NA,NA,NA,NA
"33. Pill (%)",2.7,3.4,2.7,2.9,"NCT of Delhi",NA,NA,NA,NA
"34. Condom (%)",28.4,23.3,28.3,20,"NCT of Delhi",NA,NA,NA,NA
"35. Injectables (%)",0.3,1.8,0.4,0.1,"NCT of Delhi",NA,NA,NA,NA
"36. Total unmet need7 (%)",6.1,8,6.1,15,"NCT of Delhi",NA,NA,NA,NA
"37. Unmet need for spacing7 (%)",2,1.1,2,4.5,"NCT of Delhi",NA,NA,NA,NA
"38. Health worker ever talked to female non-users about family planning (%)",16.9,18.3,16.9,12.1,"NCT of Delhi",NA,NA,NA,NA
"39. Current users ever told about side effects of current method8 (%)",70.1,84.1,70.8,40.8,"NCT of Delhi",NA,NA,NA,NA
"40. Mothers who had an antenatal check-up in the first trimester (%)",76.5,73.5,76.4,63,"NCT of Delhi",NA,NA,NA,NA
"41. Mothers who had at least 4 antenatal care visits (%)",77.1,83.1,77.2,67.9,"NCT of Delhi",NA,NA,NA,NA
"42. Mothers whose last birth was protected against neonatal tetanus9 (%)",93.5,89.1,93.4,90.6,"NCT of Delhi",NA,NA,NA,NA
"43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",68.9,75.7,69.1,53.8,"NCT of Delhi",NA,NA,NA,NA
"44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",48.8,54.1,49,29.9,"NCT of Delhi",NA,NA,NA,NA
"45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",94.1,89.5,94,86.6,"NCT of Delhi",NA,NA,NA,NA
"46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",85.6,81,85.4,62.3,"NCT of Delhi",NA,NA,NA,NA
"47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",2577,1402,2548,8518,"NCT of Delhi",NA,NA,NA,NA
"48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",4.4,NA,4.5,2.3,"NCT of Delhi",NA,NA,NA,NA
"49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",86.9,81.6,86.7,NA,"NCT of Delhi",NA,NA,NA,NA
"50. Institutional births (%)",91.8,90.4,91.8,84.4,"NCT of Delhi",NA,NA,NA,NA
"51. Institutional births in public facility (%)",62.8,51.9,62.4,55.5,"NCT of Delhi",NA,NA,NA,NA
"52. Home births that were conducted by skilled health personnel10 (%)",2.4,0.7,2.3,3.6,"NCT of Delhi",NA,NA,NA,NA
"53. Births attended by skilled health personnel10 (%)",93.5,91.1,93.4,86.6,"NCT of Delhi",NA,NA,NA,NA
"54. Births delivered by caesarean section (%)",23.4,28.2,23.6,26.7,"NCT of Delhi",NA,NA,NA,NA
"55. Births in a private health facility that were delivered by caesarean section (%)",42.9,40.8,42.8,41.5,"NCT of Delhi",NA,NA,NA,NA
"56. Births in a public health facility that were delivered by caesarean section (%)",17.5,24,17.7,26.5,"NCT of Delhi",NA,NA,NA,NA
"57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",76,74.7,76,68.8,"NCT of Delhi",NA,NA,NA,NA
"58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",79.4,79.9,79.4,79.6,"NCT of Delhi",NA,NA,NA,NA
"59. Children age 12-23 months who have received BCG (%)",96.6,100,96.8,95,"NCT of Delhi",NA,NA,NA,NA
"60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",80.1,81.3,80.2,79,"NCT of Delhi",NA,NA,NA,NA
"61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",84.9,87,85,84.8,"NCT of Delhi",NA,NA,NA,NA
"62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",90.1,89.5,90.1,91.1,"NCT of Delhi",NA,NA,NA,NA
"63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",37.6,27.3,37.2,NA,"NCT of Delhi",NA,NA,NA,NA
"64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",26.5,29.5,26.6,NA,"NCT of Delhi",NA,NA,NA,NA
"65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",81.9,82.2,81.9,62.7,"NCT of Delhi",NA,NA,NA,NA
"66. Children age 9-35 months who received a vitamin A dose in the last 6 months (%)",53,50.7,52.9,61.4,"NCT of Delhi",NA,NA,NA,NA
"67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",88.5,93.7,88.7,92.9,"NCT of Delhi",NA,NA,NA,NA
"68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",11.3,6.3,11.1,6.9,"NCT of Delhi",NA,NA,NA,NA
"69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",10.5,11.9,10.6,9.6,"NCT of Delhi",NA,NA,NA,NA
"70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",65.8,NA,64.5,62.1,"NCT of Delhi",NA,NA,NA,NA
"71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",33.7,NA,32.8,25.3,"NCT of Delhi",NA,NA,NA,NA
"72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",78.6,NA,78.2,80.6,"NCT of Delhi",NA,NA,NA,NA
"73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",5.6,6,5.6,2.4,"NCT of Delhi",NA,NA,NA,NA
"74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",76.5,81.9,76.7,81.4,"NCT of Delhi",NA,NA,NA,NA
"75. Children under age 3 years breastfed within one hour of birth15 (%)",51.3,49.3,51.2,28,"NCT of Delhi",NA,NA,NA,NA
"76. Children under age 6 months exclusively breastfed16 (%)",64.3,NA,64.3,49.6,"NCT of Delhi",NA,NA,NA,NA
"77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",63.2,NA,62.9,35.4,"NCT of Delhi",NA,NA,NA,NA
"78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",18.3,29.5,18.8,4.3,"NCT of Delhi",NA,NA,NA,NA
"79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",9.6,NA,9.5,9.4,"NCT of Delhi",NA,NA,NA,NA
"80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",16.4,28.4,16.8,5.2,"NCT of Delhi",NA,NA,NA,NA
"81. Children under 5 years who are stunted (height-for-age)18 (%)",31,26.3,30.9,31.9,"NCT of Delhi",NA,NA,NA,NA
"82. Children under 5 years who are wasted (weight-for-height)18 (%)",11.4,7.6,11.2,15.9,"NCT of Delhi",NA,NA,NA,NA
"83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",4.9,3.7,4.9,4.6,"NCT of Delhi",NA,NA,NA,NA
"84. Children under 5 years who are underweight (weight-for-age)18 (%)",22.2,11.3,21.8,27,"NCT of Delhi",NA,NA,NA,NA
"85. Children under 5 years who are overweight (weight-for-height)20 (%)",4,4.5,4,1.2,"NCT of Delhi",NA,NA,NA,NA
"86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",10.1,6.8,10,14.9,"NCT of Delhi",NA,NA,NA,NA
"87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",9.2,2.2,9.1,17.7,"NCT of Delhi",NA,NA,NA,NA
"88. Women who are overweight or obese (BMI >25.0 kg/m2)21 (%)",41.2,44.6,41.3,33.5,"NCT of Delhi",NA,NA,NA,NA
"89. Men who are overweight or obese (BMI >25.0 kg/m2) (%)",37.9,43.7,38,24.6,"NCT of Delhi",NA,NA,NA,NA
"90. Women who have high risk waist-to-hip ratio (>0.85) (%)",67.6,69,67.7,NA,"NCT of Delhi",NA,NA,NA,NA
"91. Men who have high risk waist-to-hip ratio (>0.90) (%)",62.1,44.2,61.8,NA,"NCT of Delhi",NA,NA,NA,NA
"92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",68.7,81.7,69.2,59.7,"NCT of Delhi",NA,NA,NA,NA
"93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",49.9,59.7,50.2,54.7,"NCT of Delhi",NA,NA,NA,NA
"94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",42.2,NA,42.2,46.1,"NCT of Delhi",NA,NA,NA,NA
"95. All women age 15-49 years who are anaemic22 (%)",49.7,58.6,49.9,54.3,"NCT of Delhi",NA,NA,NA,NA
"96. All women age 15-19 years who are anaemic22 (%)",51.5,52.3,51.6,55.1,"NCT of Delhi",NA,NA,NA,NA
"97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",12.5,20.2,12.6,21.7,"NCT of Delhi",NA,NA,NA,NA
"98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",18.7,NA,18.9,25.9,"NCT of Delhi",NA,NA,NA,NA
