"","Indicator","Urban","Rural","Total","NFHS4","state","Flag_Urban","Flag_Rural","Flag_Total","Flag_NFHS4"
"2742","12. Households with any usual member covered under a health insurance/financing scheme (%)",58.4,66.7,60.1,2.9,"Lakshadweep","","","",""
"2743","13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",37.4,NA,32,NA,"Lakshadweep","","Percentage not shown; based on fewer than 25 unweighted cases","",""
"2744","14. Women who are literate4 (%)",96.4,96.8,96.5,NA,"Lakshadweep","","","",""
"2745","15. Men who are literate4 (%)",100,96.3,99.1,NA,"Lakshadweep","","Based on 25-49 unweighted cases","",""
"2746","16. Women with 10 or more years of schooling (%)",68.2,66.3,67.8,56.8,"Lakshadweep","","","",""
"2747","17. Men with 10 or more years of schooling (%)",84.9,69.4,80.9,76.3,"Lakshadweep","","Based on 25-49 unweighted cases","",""
"2748","18. Women who have ever used the internet (%)",61.8,36,56.4,NA,"Lakshadweep","","Based on 25-49 unweighted cases","",""
"2749","19. Men who have ever used the internet (%)",81.5,77,80.3,NA,"Lakshadweep","","Based on 25-49 unweighted cases","",""
"2750","20. Women age 20-24 years married before age 18 years (%)",1.9,0,1.3,1.9,"Lakshadweep","","Based on 25-49 unweighted cases","",""
"2751","21. Men age 25-29 years married before age 21 years (%)",NA,NA,NA,0,"Lakshadweep","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases"
"2752","22. Total fertility rate (children per woman)",1.4,1.6,1.4,1.8,"Lakshadweep","","","",""
"2753","23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",0,5.1,1.1,0,"Lakshadweep","","Based on 25-49 unweighted cases","",""
"2754","24. Adolescent fertility rate for women age 15-19 years5",2,0,2,8,"Lakshadweep","","","",""
"2755","25. Neonatal mortality rate (NNMR)",NA,NA,0,23.3,"Lakshadweep","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases"
"2756","26. Infant mortality rate (IMR)",NA,NA,0,27,"Lakshadweep","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases"
"2757","27. Under-five mortality rate (U5MR)",NA,NA,0,30.2,"Lakshadweep","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases"
"2758","28. Any method6 (%)",51.8,55.4,52.6,29.7,"Lakshadweep","","","",""
"2759","29. Any modern method6 (%)",31,27.1,30.1,15.7,"Lakshadweep","","","",""
"2760","30. Female sterilization (%)",21.4,18.1,20.7,10.7,"Lakshadweep","","","",""
"2761","31. Male sterilization (%)",0,0,0,0,"Lakshadweep","","","",""
"2762","32. IUD/PPIUD (%)",1.3,0,1,0.7,"Lakshadweep","","","",""
"2763","33. Pill (%)",1.4,0.3,1.2,0,"Lakshadweep","","","",""
"2764","34. Condom (%)",4.7,2.2,4.1,4.1,"Lakshadweep","","","",""
"2765","35. Injectables (%)",0,0,0,0.1,"Lakshadweep","","","",""
"2766","36. Total unmet need7 (%)",13.6,7.6,12.3,16.9,"Lakshadweep","","","",""
"2767","37. Unmet need for spacing7 (%)",8.9,4.9,8,12.7,"Lakshadweep","","","",""
"2768","38. Health worker ever talked to female non-users about family planning (%)",15.3,13,14.8,23.8,"Lakshadweep","","","",""
"2769","39. Current users ever told about side effects of current method8 (%)",88.8,NA,85,NA,"Lakshadweep","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"2770","40. Mothers who had an antenatal check-up in the first trimester (%)",99.5,100,99.6,90.6,"Lakshadweep","","","",""
"2771","41. Mothers who had at least 4 antenatal care visits (%)",86.2,94.2,88.3,82.3,"Lakshadweep","","","",""
"2772","42. Mothers whose last birth was protected against neonatal tetanus9 (%)",99.5,99,99.4,93.6,"Lakshadweep","","","",""
"2773","43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",83.6,70.4,80.1,81.7,"Lakshadweep","","","",""
"2774","44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",62.2,60.2,61.7,59.1,"Lakshadweep","","","",""
"2775","45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",90.7,41.6,77.8,96.3,"Lakshadweep","","","",""
"2776","46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",90.7,97.8,92.6,92.7,"Lakshadweep","","","",""
"2777","47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",3054,1769,2533,4580,"Lakshadweep","","","",""
"2778","48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,NA,NA,NA,"Lakshadweep","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"2779","49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",91.4,100,93.7,NA,"Lakshadweep","","","",""
"2780","50. Institutional births (%)",99.5,100,99.6,99.3,"Lakshadweep","","","",""
"2781","51. Institutional births in public facility (%)",56.3,92,65.3,64.3,"Lakshadweep","","","",""
"2782","52. Home births that were conducted by skilled health personnel10 (%)",0.5,0,0.4,0.7,"Lakshadweep","","","",""
"2783","53. Births attended by skilled health personnel10 (%)",100,100,100,100,"Lakshadweep","","","",""
"2784","54. Births delivered by caesarean section (%)",30.7,33.2,31.3,38.4,"Lakshadweep","","","",""
"2785","55. Births in a private health facility that were delivered by caesarean section (%)",36.1,NA,37.7,59.9,"Lakshadweep","","Percentage not shown; based on fewer than 25 unweighted cases","",""
"2786","56. Births in a public health facility that were delivered by caesarean section (%)",26.7,30.7,28.2,27.1,"Lakshadweep","","","",""
"2787","57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",87,NA,86.1,89,"Lakshadweep","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases",""
"2788","58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",93,NA,91.7,93.2,"Lakshadweep","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases",""
"2789","59. Children age 12-23 months who have received BCG (%)",93.9,NA,94.2,100,"Lakshadweep","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases",""
"2790","60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",87,NA,86.1,92.1,"Lakshadweep","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases",""
"2791","61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",93.9,NA,91,95.1,"Lakshadweep","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases",""
"2792","62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",93.9,NA,91,93.7,"Lakshadweep","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases",""
"2793","63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",12.4,NA,11.7,NA,"Lakshadweep","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases",""
"2794","64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",13.1,NA,12.7,NA,"Lakshadweep","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases",""
"2795","65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",90.8,NA,88.9,88.9,"Lakshadweep","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases",""
"2796","66. Children age 9-59 months who received a vitamin A dose in the last 6 months (%)",44.7,45,44.8,52.1,"Lakshadweep","","Based on 25-49 unweighted cases","",""
"2797","67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",100,NA,100,100,"Lakshadweep","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases",""
"2798","68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",0,NA,0,0,"Lakshadweep","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases",""
"2799","69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",1,6.2,2.3,6.3,"Lakshadweep","","","",""
"2800","70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",NA,NA,NA,NA,"Lakshadweep","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"2801","71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",NA,NA,NA,NA,"Lakshadweep","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"2802","72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",NA,NA,NA,NA,"Lakshadweep","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"2803","73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",1.9,0,1.4,0.9,"Lakshadweep","","","",""
"2804","74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",NA,NA,NA,86.5,"Lakshadweep","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases"
"2805","75. Children under age 3 years breastfed within one hour of birth15 (%)",77.2,74,76.3,57.7,"Lakshadweep","","Based on 25-49 unweighted cases","",""
"2806","76. Children under age 6 months exclusively breastfed16 (%)",77.3,NA,67,54.8,"Lakshadweep","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases"
"2807","77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",NA,NA,NA,NA,"Lakshadweep","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"2808","78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",23.4,NA,20.2,16.8,"Lakshadweep","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","",""
"2809","79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",NA,NA,NA,NA,"Lakshadweep","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"2810","80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",21.8,NA,19,15.9,"Lakshadweep","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","",""
"2811","81. Children under 5 years who are stunted (height-for-age)18 (%)",30.7,35.6,32,26.8,"Lakshadweep","","","",""
"2812","82. Children under 5 years who are wasted (weight-for-height)18 (%)",18.5,14.2,17.4,13.7,"Lakshadweep","","","",""
"2813","83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",8.7,8.9,8.7,2.9,"Lakshadweep","","","",""
"2814","84. Children under 5 years who are underweight (weight-for-age)18 (%)",28.5,18.4,25.8,23.6,"Lakshadweep","","","",""
"2815","85. Children under 5 years who are overweight (weight-for-height)20 (%)",10,11.8,10.5,1.6,"Lakshadweep","","","",""
"2816","86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",6.7,12.4,8,13.5,"Lakshadweep","","","",""
"2817","87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",2.4,14.1,5.5,8.2,"Lakshadweep","","Based on 25-49 unweighted cases","",""
"2818","88. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%)",34.2,31,33.5,40.6,"Lakshadweep","","","",""
"2819","89. Men who are overweight or obese (BMI ≥25.0 kg/m2) (%)",42,39.4,41.3,24.1,"Lakshadweep","","Based on 25-49 unweighted cases","",""
"2820","90. Women who have high risk waist-to-hip ratio (≥0.85) (%)",69.1,66.2,68.4,NA,"Lakshadweep","","","",""
"2821","91. Men who have high risk waist-to-hip ratio (≥0.90) (%)",57.4,44,53.9,NA,"Lakshadweep","","Based on 25-49 unweighted cases","",""
"2822","92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",45.5,36.1,43.1,53.6,"Lakshadweep","","","",""
"2823","93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",26.5,24.1,26,46.3,"Lakshadweep","","","",""
"2824","94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",22.3,NA,20.9,39,"Lakshadweep","Based on 25-49 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Based on 25-49 unweighted cases","Based on 25-49 unweighted cases"
"2825","95. All women age 15-49 years who are anaemic22 (%)",26.4,23.7,25.8,46,"Lakshadweep","","","",""
"2826","96. All women age 15-19 years who are anaemic22 (%)",31.2,31.9,31.4,59,"Lakshadweep","","Based on 25-49 unweighted cases","",""
"2827","97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",3.5,11.4,5.6,11.4,"Lakshadweep","","Based on 25-49 unweighted cases","",""
"2828","98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",NA,NA,NA,NA,"Lakshadweep","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"2829","99. Blood sugar level - high (141-160 mg/dl)23 (%)",8.9,6.5,8.4,NA,"Lakshadweep","","","",""
"2830","100. Blood sugar level - very high (>160 mg/dl)23 (%)",9.4,11.6,9.9,NA,"Lakshadweep","","","",""
"2831","101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",19.9,18.3,19.5,NA,"Lakshadweep","","","",""
"2832","102. Blood sugar level - high (141-160 mg/dl)23 (%)",11.1,7,10.2,NA,"Lakshadweep","","","",""
"2833","103. Blood sugar level - very high (>160 mg/dl)23 (%)",9,5.3,8.1,NA,"Lakshadweep","","","",""
"2834","104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",22.9,13,20.7,NA,"Lakshadweep","","","",""
